no;age;education;married;nodegree;re74;re75;re78;Ins;race;treat;treat_multi
1;37;11;1;1;0;0;9930.046;1;black;1;1
2;22;9;0;1;0;0;3595.894;1;hispanic;1;1
3;30;12;0;0;0;0;24909.45;1;black;1;1
4;27;11;0;1;0;0;7506.146;1;black;1;1
5;33;8;0;1;0;0;289.7899;1;black;1;1
6;22;9;0;1;0;0;4056.494;1;black;1;1
7;23;12;0;0;0;0;0;1;black;1;1
8;32;11;0;1;0;0;8472.158;1;black;1;1
9;22;16;0;0;0;0;2164.022;1;black;1;1
10;33;12;1;0;0;0;12418.07;0;white;1;1
11;19;9;0;1;0;0;8173.908;1;black;1;1
12;21;13;0;0;0;0;17094.64;1;black;1;1
13;18;8;0;1;0;0;0;1;black;1;1
14;27;10;1;1;0;0;18739.93;1;black;1;1
15;17;7;0;1;0;0;3023.879;1;black;1;1
16;19;10;0;1;0;0;3228.503;1;black;1;1
17;27;13;0;0;0;0;14581.86;1;black;1;1
18;23;10;0;1;0;0;7693.4;1;black;1;1
19;40;12;0;0;0;0;10804.32;1;black;1;1
20;26;12;0;0;0;0;10747.35;1;black;1;1
21;23;11;0;1;0;0;0;1;black;1;1
22;41;14;0;0;0;0;5149.501;1;white;1;1
23;38;9;0;1;0;0;6408.95;1;white;1;1
24;24;11;0;1;0;0;1991.4;1;black;1;1
25;18;10;0;1;0;0;11163.17;1;black;1;1
26;29;11;1;1;0;0;9642.999;1;black;1;1
27;25;11;0;1;0;0;9897.049;1;black;1;1
28;27;10;0;1;0;0;11142.87;1;hispanic;1;1
29;17;10;0;1;0;0;16218.04;1;black;1;1
30;24;11;0;1;0;0;995.7002;1;black;1;1
31;17;10;0;1;0;0;0;1;black;1;1
32;48;4;0;1;0;0;6551.592;0;black;1;1
33;25;11;1;1;0;0;1574.424;1;black;1;1
34;20;12;0;0;0;0;0;1;black;1;1
35;25;12;0;0;0;0;3191.753;1;black;1;1
36;42;14;0;0;0;0;20505.93;1;black;1;1
37;25;5;0;1;0;0;6181.88;1;black;1;1
38;23;12;1;0;0;0;5911.551;1;black;1;1
39;46;8;1;1;0;0;3094.156;1;black;1;1
40;24;10;0;1;0;0;0;1;black;1;1
41;21;12;0;0;0;0;1254.582;1;black;1;1
42;19;9;0;1;0;0;13188.83;1;white;1;1
43;17;8;0;1;0;0;8061.485;1;black;1;1
44;18;8;1;1;0;0;2787.96;1;hispanic;1;1
45;20;11;0;1;0;0;3972.54;1;black;1;1
46;25;11;1;1;0;0;0;1;black;1;1
47;17;8;0;1;0;0;0;1;black;1;1
48;17;9;0;1;0;0;0;1;black;1;1
49;25;5;0;1;0;0;12187.41;1;black;1;1
50;23;12;0;0;0;0;4843.176;1;black;1;1
51;28;8;0;1;0;0;0;0;black;1;1
52;31;11;1;1;0;0;8087.487;1;black;1;1
53;18;11;0;1;0;0;0;1;black;1;1
54;25;12;0;0;0;0;2348.973;1;black;1;1
55;30;11;1;1;0;0;590.7818;1;black;1;1
56;17;10;0;1;0;0;0;1;black;1;1
57;37;9;0;1;0;0;1067.506;1;black;1;1
58;41;4;1;1;0;0;7284.986;1;black;1;1
59;42;14;1;0;0;0;13167.52;1;black;1;1
60;22;11;0;1;0;0;1048.432;1;white;1;1
